RXN-11361	1.000000000001473900000d-5	a small subunit of molybdopterin synthase + ATP + H+  ->  a carboxy-adenylated [small subunit of molybdopterin synthase] + diphosphate
RXN0-742	1.348805000002740200d-2	5-amino-1-(5-phospho-beta-D-ribosyl)imidazole + ATP + hydrogencarbonate  ->  N5-carboxyaminoimidazole ribonucleotide + ADP + phosphate + 2 H+
DURIDKI-RXN	7.9095000000116590000d-4	2'-deoxyuridine + ATP  ->  dUMP + ADP + H+
FGAMSYN-RXN	1.349305000002740700d-2	ATP + N2-formyl-N1-(5-phospho-beta-D-ribosyl)glycinamide + L-glutamine + H2O  ->  ADP + 2-(formamido)-N1-(5-phospho-beta-D-ribosyl)acetamidine + L-glutamate + phosphate + H+
DIHYDRODIPICSYN-RXN	1.821980000002686000d-2	pyruvate + L-aspartate 4-semialdehyde  ->  (2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate + H2O + H+
RXN0-16	3000.    	Mn2+[periplasm]  ->  Mn2+[cytosol]
GLUC1PADENYLTRANS-RXN	2.40000000000353760000d-4	alpha-D-glucopyranose 1-phosphate + ATP + H+  ->  ADP-alpha-D-glucose + diphosphate
ETHAMLY-RXN	1.939950000096943800d-3	ethanolamine  ->  ammonium + acetaldehyde
GLUTATHIONE-REDUCT-NADPH-RXN	8.1645000000120340000d-4	glutathione disulfide + NADPH + H+  ->  2 glutathione + NADP+
1.5.1.20-RXN	5.0000000000073700000000d-6	a 5-methyltetrahydrofolate + NAD(P)+  <-->  a 5,10-methylenetetrahydrofolate + NAD(P)H + H+
UNDECAPRENYL-DIPHOSPHATASE-RXN	1.25250000000184630000d-4	di-trans,octa-cis-undecaprenyl diphosphate + H2O  ->  di-trans,octa-cis-undecaprenyl phosphate + phosphate + H+
RXN0-4361	3.4160000000050350000d-4	D-glycero-beta-D-manno-heptose 1,7-bisphosphate + H2O  ->  D-glycero-beta-D-manno-heptose 1-phosphate + phosphate
GDPKIN-RXN	1.79901500000340400d-2	GDP + ATP  ->  GTP + ADP
UDPKIN-RXN	1.00600500000061110d-2	UDP + ATP  ->  UTP + ADP
RXN0-5124	8.54000000001258800000d-5	UDP-alpha-D-galactose + glucosyl-(heptosyl)3-Kdo2-lipid A-bisphosphate (E. coli)  ->  galactosyl-(1->6)-glucosyl-(1->3)-(heptosyl)3-Kdo2-lipid A-bisphosphate (E. coli) + UDP + H+
UROPORIIIMETHYLTRANSA-RXN	5.0000000000073700000000d-6	uroporphyrinogen-III + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + precorrin-1 + H+
TRANS-RXN0-600	3.1478681429134032    	an inorganic compound[periplasm]  <-->  an inorganic compound[extracellular space]
