RXN-8342	5.0000000000073700000000d-6	cyclic pyranopterin phosphate + 2 a thiocarboxylated [small subunit of molybdopterin synthase] + H2O  ->  2 a small subunit of molybdopterin synthase + molybdopterin + 4 H+
RXN-8992	1.000000000001473900000d-5	(2E,6E)-farnesyl diphosphate + 5 3-methylbut-3-en-1-yl diphosphate  ->  all-trans-octaprenyl diphosphate + 5 diphosphate
DMK-RXN	1.000000000001473900000d-5	all-trans-octaprenyl diphosphate + 1,4-dihydroxy-2-naphthoate + H+  ->  CO2 + demethylmenaquinol-8 + diphosphate
DCDPKIN-RXN	8.1645000000120340000d-4	dCDP + ATP  ->  dCTP + ADP
DIOHBUTANONEPSYN-RXN	3.000000000004422500000d-5	D-ribulose 5-phosphate  ->  1-deoxy-L-glycero-tetrulose 4-phosphate + formate + H+
RXN-23966	3000.    	L-cysteine[periplasm]  ->  L-cysteine[cytosol]
DXPREDISOM-RXN	1.5277499999781402000d-3	2-C-methyl-D-erythritol 4-phosphate + NADP+  <-->  1-deoxy-D-xylulose 5-phosphate + NADPH + H+
GLUTDEHYD-RXN	0.4293316999988317    	L-glutamate + NADP+ + H2O  <-->  ammonium + 2-oxoglutarate + NADPH + H+
GLUTCYSLIG-RXN	5.000000001587068000000d-6	L-cysteine + L-glutamate + ATP  ->  gamma-L-glutamyl-L-cysteine + ADP + phosphate + H+
RXN0-5127	8.54000000001258800000d-5	galactosyl-(glucosyl)3-(heptosyl)3-Kdo2-lipid A-bisphosphate (E. coli) + ADP-L-glycero-beta-D-manno-heptose  ->  lipid A-core oligosaccharide (E. coli K-12 core type) + ADP + H+
RXN-14014	1.821980000002308700d-2	(2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate + NAD(P)H + H+  ->  (S)-2,3,4,5-tetrahydrodipicolinate + NAD(P)+ + H2O
GSAAMINOTRANS-RXN	1.20000000000176880000d-4	(S)-4-amino-5-oxopentanoate  ->  5-aminolevulinate
RXN0-7077	5.8159999939456180000d-4	D-glucose[periplasm] + H+[periplasm]  ->  D-glucose[cytosol] + H+[cytosol]
H2PTERIDINEPYROPHOSPHOKIN-RXN	2.000000000002954000000d-5	6-(hydroxymethyl)-7,8-dihydropterin + ATP  ->  (7,8-dihydropterin-6-yl)methyl diphosphate + AMP + H+
TRANS-RXN0-461	3.3595000000049520000d-4	5-(methylsulfanyl)-D-ribose[cytosol]  ->  5-(methylsulfanyl)-D-ribose[periplasm]
RXN-21527	1.500000000002211200000d-5	a holo [hydroxymethylbilane synthase] ES intermediate + porphobilinogen  ->  a [hydroxymethylbilane synthase] ES2 intermediate + ammonium
RXN-14408	5.8159999939456180000d-4	aldehydo-D-glucose  <-->  D-glucopyranose
3PGAREARR-RXN	3.8774701999986374    	2-phospho-D-glycerate  <-->  3-phospho-D-glycerate
