#
#  ecocyc 27.1 Pathways link table generated on Mon Aug 21, 2023
#
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	riboflavin, FMN and FAD biosynthesis	vitamin B<sub>2</sub> biosynthesis
LEUSYN-PWY	L-leucine biosynthesis	
PWY0-1241	ADP-L-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose biosynthesis	
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	
PWY-5698	allantoin degradation to ureidoglycolate II (ammonia producing)	
PWY-66	GDP-L-fucose biosynthesis I (from GDP-D-mannose)	GDP-L-fucose biosynthesis I (<i>de novo</i> synthesis)
AMMASSIM-PWY	ammonia assimilation cycle III	ammonia assimilation III	GS/GOGAT pathway
PWY-5659	GDP-mannose biosynthesis	
PWY0-862	(5Z)-dodecenoate biosynthesis I	(5Z)-dodec-5-enoate biosynthesis I	<i>cis</i>-dodecenoate biosynthesis I
TYRSYN	L-tyrosine biosynthesis I	
PWY-5837	2-carboxy-1,4-naphthoquinol biosynthesis	
PWY0-42	2-methylcitrate cycle I	
PROPIONMET-PWY	propanoyl CoA degradation I	propionyl CoA degradation I	methylmalonyl pathway
PWY0-1221	putrescine degradation II	
PUTDEG-PWY	putrescine degradation I	putrescine degradation
PWY-7247	&beta;-D-glucuronide and D-glucuronate degradation	D-glucuronate catabolism	D-glucuronate degradation	glucuronic acid degradation	glucuronate degradation	&beta;-D-glucuronide degradation
MANNCAT-PWY	D-mannose degradation I	
PHESYN	L-phenylalanine biosynthesis I	
GLUTORN-PWY	L-ornithine biosynthesis I	
PWY0-981	taurine degradation IV	
MENAQUINONESYN-PWY	menaquinol-8 biosynthesis	vitamin K<sub>2</sub> biosynthesis I	menaquinone-8 biosynthesis
PWY-8243	colanic acid (<i>Escherichia coli</i> K12) biosynthesis	
PWY-5509	adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I	
PWY0-1609	poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine biosynthesis	PNAG biosynthesis	PGA biosynthesis
ECASYN-PWY	enterobacterial common antigen biosynthesis	ECA biosynthesis
PWY-2161	folate polyglutamylation	
PWY-6614	tetrahydrofolate biosynthesis I	folic acid biosynthesis I	folate biosynthesis I	THF biosynthesis I
PWY-5966	fatty acid biosynthesis initiation II	
PWY-5386	methylglyoxal degradation I	
PWY-4381	fatty acid biosynthesis initiation (type II)	de novo fatty acid biosynthesis, initial reactions	fatty acid biosynthesis initiation (bacteria and plants)
GALACTUROCAT-PWY	D-galacturonate degradation I	D-galacturonate catabolism	D-galacturonate degradation
PWY-5965	fatty acid biosynthesis initiation III	
PWY-7242	D-fructuronate degradation	
PWY-5453	methylglyoxal degradation III	
SERSYN-PWY-1	L-serine biosynthesis	
PWY-4621-1	arsenic detoxification (bacteria)	
DETOX1-PWY	superoxide radicals degradation	removal of superoxide radicals
PWY0-1587	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis	
PWY-8455	misacylated tRNA editing	mischarged tRNA editing
ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I	
PWY0-1479	tRNA processing	
ASPARAGINESYN-PWY	L-asparagine biosynthesis II	L-asparagine - L-aspartate pathway
PWY-7892	tRNA-uridine 2-thiolation and selenation (bacteria)	
PWY0-1554	5-(methoxycarbonylmethoxy)uridine biosynthesis	cmo<sup>5</sup>U34 tRNA biosynthesis	5-oxyacetyluridine biosynthesis	5-(carboxymethoxy)uridine biosynthesis
PWY0-1305	L-glutamate degradation IX (via 4-aminobutanoate)	glutamate dependent acid resistance	L-glutamate degradation IX (via 4-aminobutyrate)
PWY-7344	UDP-&alpha;-D-galactose biosynthesis	UDP-D-galactose biosynthesis
PWY0-1601	cadaverine biosynthesis	acid resistance system 4	L-lysine-dependent acid resistance
PWY-7346	UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)	UDP-&alpha;-D-glucuronate biosynthesis	UDP-glucuronic acid biosynthesis (from UDP-glucose)	UDP-GlcA biosynthesis
PWY0-1299	arginine dependent acid resistance	
PWY-7335	UDP-<i>N</i>-acetyl-&alpha;-D-mannosaminouronate biosynthesis	
PWY-8462	UDP-<i>N</i>-acetyl-&alpha;-D-mannosamine biosynthesis	
PWY-7343	UDP-&alpha;-D-glucose biosynthesis	UDP-D-glucose biosynthesis
PWY-6543	4-aminobenzoate biosynthesis I	pABA biosynthesis I	plastidial PABA biosynthesis	PABA biosynthesis in plastids	<i>p</i>-aminobenzoate biosynthesis I
PWY-1269	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	CMP-Kdo biosynthesis I
PWY0-461	L-lysine degradation I	
PWY0-1599	periplasmic disulfide bond formation	
PWY-7801	N-end rule pathway I (prokaryotic)	
PWY0-1600	periplasmic disulfide bond reduction	
PWY-7884	lipoprotein posttranslational modification (Gram-negative bacteria)	lipoprotein lipoylation	Lol pathway
PWY-8147	cytochrome <i>c</i> biogenesis (system I type)	cytochrome <i>c</i> biogenesis
PWY-6012	acyl carrier protein metabolism	[acp] metabolism	ACP metabolism
PWY0-1338	polymyxin resistance	L-Ara4N-modified lipid A biosynthesis	4-amino-4-deoxy-L-arabinose-modified lipid A biosynthesis
PWY-7220	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II	
THREOCAT-PWY	superpathway of L-threonine metabolism	
PWY0-1297	superpathway of purine deoxyribonucleosides degradation	
PWY-6126	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II	
PROSYN-PWY	L-proline biosynthesis I (from L-glutamate)	
ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	
GALACTMETAB-PWY	galactose degradation I (Leloir pathway)	Leloir pathway
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	fucose and rhamnose catabolism
ACETATEUTIL-PWY	superpathway of acetate utilization and formation	superpathway of acetic acid utilization and formation
SULFATE-CYS-PWY-1	superpathway of sulfate assimilation and cysteine biosynthesis	
PWY-8227	superpathway of enterobacterial common antigen biosynthesis	ECA biosynthesis
PWY0-1312	acetate and ATP formation from acetyl-CoA I	acetic acid formation from acetyl-CoA I	phosphotransacetylase (Pta)-acetate kinase (AckA)	Pta-AckA
PWY-5838	superpathway of menaquinol-8 biosynthesis I	vitamin K<sub>2</sub> biosynthesis I	superpathway of menaquinone-8 biosynthesis I
METHGLYUT-PWY	superpathway of methylglyoxal degradation	
ENTBACSYN-PWY	enterobactin biosynthesis	
PWY0-881	superpathway of fatty acid biosynthesis I (E. coli)	
PWY-7196	superpathway of pyrimidine ribonucleosides salvage	
PWY-5459	methylglyoxal degradation IV	
KETOGLUCONMET-PWY	ketogluconate metabolism	
COLANSYN-PWY	colanic acid building blocks biosynthesis	
PWY0-41	allantoin degradation IV (anaerobic)	
PWY-6630	superpathway of L-tyrosine biosynthesis	
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	spermidine biosynthesis	putrescine biosynthesis	polyamine biosynthesis I	aminopropylcadaverine biosynthesis
GLYSYN-PWY	glycine biosynthesis I	
GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	vitamin H biosynthesis
PWY0-162	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis	pyrimidine biosynthesis
PWY-6612	superpathway of tetrahydrofolate biosynthesis	folic acid biosynthesis	folate biosynthesis	THF biosynthesis
PWY-6519	8-amino-7-oxononanoate biosynthesis I	7-keto-8-aminopelargonate biosynthesis I
PENTOSE-P-PWY	pentose phosphate pathway	pentose shunt	hexose monophosphate shunt	phosphogluconate pathway	superpathway of oxidative and non-oxidative branches of pentose phosphate pathway
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronosides degradation	D-glucuronate catabolism	D-glucuronate degradation	glucuronic acid degradation	glucuronate degradation	&beta;-D-glucuronide degradation
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	
