MONOMER-52			GalR-D-galactose	B2837, GalR, GalR-galactose, GalR-&beta;-D-galactose
CPLX0-8598			RcdA-trimethylamine N-oxide	RcdA-TMAO
CPLX0-8083			DNA-binding transcriptional repressor IscR-a [2Fe-2S] iron-sulfur cluster	
CPLX0-7761			bifunctional aconitate hydratase B and 2-methylisocitrate dehydratase	bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase
CPLX0-7701			MntR-Mn<sup>2+</sup>	
CPLX0-2781			CysB-<i>O</i>-acetyl-L-serine DNA-binding transcriptional dual regulator	
MONOMER0-2421			DNA-binding transcriptional dual regulator PrpR-(2<i>S</i>,3<i>S</i>)-2-methylcitrate	B0330, YahP, PrpR, PrpR-2-methylcitrate
MONOMER0-159			LacI-allolactose	B0345, LacI
MONOMER-47			RhaR-L-rhamnose DNA-binding transcriptional activator	B3906, RhaR, RhaR-rhamnose
CPLX0-8309			PyrR-pyruvate	PyrR-BTS
CPLX0-8070			DksA-ppGpp	
CPLX0-7750			LsrR-(2<i>S</i>)-2-hydroxy-3,4-dioxopentyl phosphate	LsrR-P-DPD
CPLX0-7680			Zur-Zn<sup>2+</sup> DNA-binding transcriptional repressor	
CPLX0-10394			ZntR-Zn<SUP>2+</SUP>	
MONOMER0-2221			AllS-allantoin DNA-binding transcriptional activator	YbbS, B0504, AllS
MONOMER0-155			DNA-binding transcriptional dual regulator Lrp-L-leucine	Lss, Lrs, LivR, Ihb, AlsB, B0889, LstR, Mbf, OppI, RblA, Lrp, Lrp-leu
CPLX0-9744			AcrR-spermidine	
CPLX0-8286			CsqR-6-sulfo-D-quinovose	YihW-6-sulfo-D-quinovose
CPLX0-8061			NrdR-Zn<sup>2+</sup> DNA-binding transcriptional repressor	
CPLX0-7743			MprA-carbonylcyanide <i>m</i>-chlorophenylhydrazone	MprA-CCCP
CPLX0-7670			ArgP-L-lysine	ArgP-lysine
CPLX-127			Cra-&beta;-D-fructofuranose 1-phosphate	FruR-fructose-1-phosphate, Cra-fructose-1-phosphate
MONOMER0-2101			UxuR-D-fructuronate	B4324, UxuR
MONOMER-60			RbsR-D-ribose	B3753, RbsR
CPLX0-9318			PtrR-4-aminobutanoate	PtrR-GABA
CPLX0-8246			ExuR-&alpha;-D-glucuronate	
CPLX0-8057			GlpR-glycerol	
CPLX0-7736			ArsR-arsenite	
CPLX0-7639			Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator	
CPLX-123			DNA-binding transcriptional repressor PurR-hypoxanthine	PurR-hypoxanthine
MONOMER0-1781			NikR-Ni transcriptional repressor	B3481, YhhG, NikR
MONOMER-56			SrlR-D-sorbitol	B2707, GutR, SrlR, GutR-sorbitol, GutR-D-sorbitol
CPLX0-9022			Cbl-thiosulfate	
CPLX0-8209			UxuR-&alpha;-D-galacturonate,&alpha;-D-glucuronate	
CPLX0-8051			CytR-cytidine	
CPLX0-7716			NemR-methylglyoxal	
CPLX0-7606			IclR-glyoxylate	IclR-glyox
MONOMER0-49			BetI-choline	B0313, BetI
MONOMER0-163			DNA-binding transcriptional repressor TyrR-L-phenylalanine	B1323, TyrR, TyrR-phe, TyrR-Phenylalanine
MONOMER-53			GalS-D-galactose	B2151, MglD, GalS, GalS-galactose, GalS-&beta;-D-galactose
CPLX0-8599			RcdA-tris	
