#
#  ecocyc 27.1 Reactions link table generated on Mon Aug 21, 2023
#
RXN-21279	
RXN-19954	
RXN-17919	
RXN0-4701	
RXN-20692	
ENTG-RXN	
RXN-12402	EC-3.2.1.177
RXN0-6389	EC-2.7.99
RXN-18549	
DSBDC-RXN	
RXN0-7336	EC-2.7.13.3
RXN0-6546	EC-2.7.99
RXN0-5401	
PHOR-RXN	EC-2.7.13.3
CREC-RXN	EC-2.7.13.3
RXN0-7326	EC-2.7.13.3
RXN0-6509	EC-2.7.99
RXN-21410	
PHOBR-RXN	EC-2.7.99
CPXA-RXN	EC-2.7.13.1
RXN0-7284	EC-2.7.99
RXN0-6503	EC-2.7.99
RXN0-6495	EC-2.7.99
RXN-20057	
NARX-RXN	
BARA-RXN	EC-2.7.13.3
RXN0-7238	EC-6.2.1.3
RXN0-6464	EC-2.7.99
RXN-20000	
HYDH-RXN	EC-2.7.13.3
ATOC-RXN	EC-2.7.99
TRANS-RXN0-623	EC-6.2.1.3
RXN0-7039	EC-2.7.13.3
RXN0-6446	EC-2.7.13.3
TRANS-RXN0-631	
RXN-18550	
TRANS-RXN0-564	
ENVZ-RXN	EC-2.7.13.3
TRANS-RXN0-509	
RXN0-7337	EC-3.1.3
TRANS-RXN0-464	
RXN0-6560	EC-2.7.99
TRANS-RXN0-276	
RXN0-6272	EC-2.7.99
TRANS-RXN-294	
RCSC-RXN	EC-2.7.13.3
TRANS-RXN0-587	
DCUS-RXN	EC-2.7.13.3
TRANS-RXN0-560	
RXN0-7332	EC-3.1.3
TRANS-RXN0-500	
RXN0-6518	EC-2.7.13.3
TRANS-RXN0-461	
PHOP-RXN	
TRANS-RXN0-269	
CPXR-RXN	EC-2.7.99
TRANS-RXN-267	
RXN0-7304	EC-2.7.99
TRANS-RXN0-580	
RXN0-6506	EC-2.7.99
TRANS-RXN0-549	
RXN0-6501	EC-2.7.99
TRANS-RXN0-486	
RXN-20160	
TRANS-RXN0-449	
NRIIPHOS-RXN	EC-2.7.13.3
TRANS-RXN0-213	
BASR-RXN	EC-2.7.99
TRANS-RXN-141A	
RXN0-7239	EC-6.2.1.3
TRANS-RXN0-577	
RXN0-6493	EC-2.7.13.3
TRANS-RXN0-528	
RXN-20017	
TRANS-RXN0-476	
KDPD-RXN	EC-2.7.13.3
TRANS-RXN0-418	
BAER-RXN	EC-2.7.99
TRANS-RXN-496	
RXN0-7040	EC-2.7.99
RXN0-1982	
RXN0-6459	EC-2.7.99
TRANS-RXN0-570	
RXN-19988	EC-1.8.5
TRANS-RXN0-524	
EVGA-RXN	EC-2.7.99
TRANS-RXN0-470	
RXN0-7380	
TRANS-RXN0-282	
RXN0-6561	EC-2.7.99
TRANS-RXN-387	
RXN0-6388	EC-2.7.13.3
RXN0-10	
RXN-16938	EC-3.5.1.28
TRANS-RXN0-565	
DSBD-RXN	
TRANS-RXN0-512	
RXN0-7333	EC-2.7.99
TRANS-RXN0-465	
RXN0-6542	EC-2.7.13.2
TRANS-RXN0-278	
RXN0-321	EC-2.7.99
TRANS-RXN-295	
PHOQ-RXN	EC-2.7.13.3
TRANS-RXN0-595	
CREB-RXN	EC-2.7.99
TRANS-RXN0-561	
RXN0-7311	
TRANS-RXN0-505	
RXN0-6507	EC-2.7.99
TRANS-RXN0-462	
RXN-20161	
TRANS-RXN0-272	
NRIPHOS-RXN	
TRANS-RXN-272	
BASS-RXN	EC-2.7.13.3
TRANS-RXN0-584	
RXN0-7248	EC-6.2.1.3
TRANS-RXN0-557	
RXN0-6502	EC-2.7.13.3
TRANS-RXN0-487	
RXN0-6494	EC-2.7.99
TRANS-RXN0-453	
RXN-20056	
TRANS-RXN0-214	
NARQ-RXN	
TRANS-RXN-144	
BAES-RXN	EC-2.7.13.3
TRANS-RXN0-578	
RXN0-7235	
TRANS-RXN0-529	
RXN0-6462	EC-2.7.13.1
TRANS-RXN0-480	
RXN-19998	EC-1.8.5
TRANS-RXN0-444	
HYDG-RXN	EC-2.7.99
TRANS-RXN-8	
ARCBTRANS-RXN	EC-2.7.99
RXN66-448	
RXN0-7406	EC-2.7.13.3
TRANS-RXN0-574	
RXN0-7003	EC-2.7.99
TRANS-RXN0-525	
