# Column descriptions:
# id	Object ID, according to EcoCyc
# complex-count-avg	A floating point number
# complex-count-std	A floating point number
# complex-concentration-avg	A floating point number in mM units
# complex-concentration-std	A floating point number in mM units
# relative-complex-mass-to-total-protein-mass	A floating point number
# relative-complex-mass-to-total-cell-dry-mass	A floating point number
id	complex-count-avg	complex-count-std	complex-concentration-avg	complex-concentration-std	relative-complex-mass-to-total-protein-mass	relative-complex-mass-to-total-cell-dry-mass
1-PFK	45.91510543538489	46.82649980282436	5.1814290822846445e-05	5.0763340448831387e-05	2.2415151726961003e-05	1.0618047860900328e-05
2OXOGLUTARATEDEH-CPLX	148.22618163950193	40.48488784378547	0.00016817175147676937	3.2057969518410454e-05	0.0025921553399068974	0.001227902884499073
E1O	2.613668440476315e-06	0.0016166822845694669	3.207798328350975e-12	1.9841807972060154e-09	2.3828040571165308e-11	1.1287332706822153e-11
E2O	22.121828313347482	7.379329914427175	2.519237488396825e-05	7.242898821091521e-06	0.00016896813464758337	8.004013367873521e-05
E3-CPLX	3511.3333289772195	875.8042367767346	0.003969928757528775	0.000519196573156033	0.0025740209301729376	0.0012193126223036688
3-ISOPROPYLMALDEHYDROG-CPLX	2129.197564583747	863.1937366235712	0.0023956739724492874	0.0007627203398683315	0.0012166710448130804	0.0005763365576177779
3-ISOPROPYLMALISOM-CPLX	4595.2954412395065	1947.4928502115142	0.005160246609921728	0.0017209258910472647	0.0024046520085654163	0.0011390826360120902
3-METHYL-2-OXOBUT-OHCH3XFER-CPLX	363.731207723913	100.64882014112698	0.0004117622471914098	7.489235164340585e-05	0.0007425708489106629	0.0003517554960093856
3-OXOACYL-ACP-SYNTHII-CPLX	766.8579131425704	215.3758018837731	0.0008666814020475856	0.0001576384634285803	0.00047739852956618504	0.00022614348086522822
6PFK-1-CPX	792.7637400549916	195.71140609033975	0.0008987351208037975	0.00013159282737347034	0.0007989025279593475	0.000378439788469667
6PFK-2-CPX	94.3555765229846	97.32081597061949	0.00010633084602935625	0.00010338930591169129	4.4286527411853254e-05	2.097850924143112e-05
