# Column descriptions:
# id	Object ID, according to EcoCyc
# protein-count-avg	A floating point number
# protein-count-std	A floating point number
# protein-concentration-avg	A floating point number in mM units
# protein-concentration-std	A floating point number in mM units
# relative-protein-count-to-protein-rna-counts	A floating point number
# relative-protein-mass-to-total-protein-mass	A floating point number
# relative-protein-mass-to-total-cell-dry-mass	A floating point number
# validation-count	A floating point number
id	protein-count-avg	protein-count-std	protein-concentration-avg	protein-concentration-std	relative-protein-count-to-protein-rna-counts	relative-protein-mass-to-total-protein-mass	relative-protein-mass-to-total-cell-dry-mass	validation-count
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	173.32944506591673	61.56723254045648	0.00019630524828478303	5.7775831693287036e-05	2.9259295538649213e-05	3.443046793077118e-05	1.630969804778954e-05	43.0
1-PFK-MONOMER	92.13095524354162	93.77149019768953	0.00010396964375619049	0.00010166364943718637	1.5552388382156794e-05	2.248856145435668e-05	1.0652822017615288e-05	56.0
2-DEHYDROPANTOATE-REDUCT-MONOMER	219.18727979843388	117.33692905967193	0.00024765369528960526	0.00011773365534733798	3.700043807038109e-05	5.367822520349646e-05	2.5427352499843428e-05	25.0
2-ISOPROPYLMALATESYN-MONOMER	2824.1756698832214	1259.743453035721	0.0031712246006357385	0.0011408914913054312	0.0004767417939101492	0.0011700253182134466	0.0005542404967222521	2711.0
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER	395.2831491568306	150.66050735385537	0.0004479212524339007	0.00014537050759584453	6.672672654221709e-05	8.026070555730546e-05	3.801946216282156e-05	929.0
2-OCTAPRENYLPHENOL-HYDROX-MONOMER	68.81407408181828	27.822215137876267	7.795887993650943e-05	2.7332036403913804e-05	1.1616325950923755e-05	3.14592753075586e-05	1.4902245363037968e-05	3.0
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER	3642.548946168885	1006.8434818843316	0.004123725219957708	0.0007491702742515975	0.0006148892710607777	0.0007436399752666707	0.0003522619407105289	nan
3-ISOPROPYLMALDEHYDROG-MONOMER	4259.866977344722	1726.8457724000396	0.004793028212888222	0.0015258692719034423	0.0007190971320427467	0.0012170915682744492	0.0005765357594029738	4588.0
3-OXOACYL-ACP-REDUCT-MONOMER	3860.370453523748	978.470461741904	0.004370331867871204	0.0006388290114782964	0.0006516591566156887	0.0007136443599435125	0.00033805303046097825	4675.0
3-OXOACYL-ACP-SYNTHII-MONOMER	1534.5736035169523	430.86437124497553	0.0017343522810744458	0.00031534072956132883	0.000259047402903972	0.0004776655292164097	0.00022626995848623485	1917.0
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER	51.57958097667562	30.648389789925435	5.831704233389817e-05	3.133123876332779e-05	8.707015723625625e-06	1.2130324160762071e-05	5.746129407292205e-06	nan
6PFK-1-MONOMER	3173.2733688095263	783.0042388810291	0.003597537031712274	0.0005265288545665342	0.0005356720739953514	0.0007994614246837749	0.0003787045376108532	1448.0
6PFK-2-MONOMER	189.09367387690668	194.7896695810438	0.00021310356125944967	0.00020693986518988908	3.192041425130782e-05	4.437629698292249e-05	2.102103304915173e-05	939.0
6PGLUCONDEHYDROG-MONOMER	5941.814434768063	1784.3971734801469	0.006747549906423473	0.0015566551528624563	0.0010030223342408714	0.002211796783260853	0.001047727197625941	14100.0
6PGLUCONOLACT-MONOMER	1031.2765339620078	469.49393334378783	0.0011620193540434736	0.00045186638125181743	0.00017408712569173083	0.0002706568639081717	0.00012821004157654138	1802.0
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER	574.7718894731889	259.00412618985865	0.0006477784960631157	0.00024815269111565756	9.70257567893801e-05	0.00011129413551140381	5.2719984762638426e-05	197.0
7KAPSYN-MONOMER	129.40023104829015	55.40960590794506	0.00014612350517826	5.302240914969879e-05	2.1843718484020686e-05	3.892553436599163e-05	1.8439009110613577e-05	72.0
AAS-MONOMER	55.41576407983189	44.1073300172514	6.238321368241431e-05	4.5993477433102776e-05	9.35459187615375e-06	3.234966891849459e-05	1.5324024438688236e-05	6.0
ABC-MONOMER	300.33244294361793	106.54207074917055	0.0003393542636876427	9.55294956842008e-05	5.0698343288354443e-05	8.206876974339278e-05	3.887594140049558e-05	1090.0
