# Column descriptions:
# id	Object ID, according to EcoCyc
# rna-count-avg	A floating point number
# rna-count-std	A floating point number
# rna-concentration-avg	A floating point number in mM units
# rna-concentration-std	A floating point number in mM units
# relative-rna-count-to-total-rna-counts	A floating point number
# relative-rna-count-to-total-rna-type-counts	A floating point number
# relative-rna-mass-to-total-rna-mass	A floating point number
# relative-rna-mass-to-total-rna-type-mass	A floating point number
# relative-rna-mass-to-total-cell-dry-mass	A floating point number
id	rna-count-avg	rna-count-std	rna-concentration-avg	rna-concentration-std	relative-rna-count-to-total-rna-counts	relative-rna-count-to-total-rna-type-counts	relative-rna-mass-to-total-rna-mass	relative-rna-mass-to-total-rna-type-mass	relative-rna-mass-to-total-cell-dry-mass
EG10001	0.0868784781754964	0.3002569887953434	2.839561767377465e-07	9.985292329681534e-07	8.962618780912448e-07	3.40442102132985e-05	2.4694520983025025e-06	5.2489378234933586e-05	3.0184398539335804e-07
EG10002	0.7123782339249624	0.8946761072095354	2.306216211745696e-06	2.905312107436333e-06	7.349086531639892e-06	0.0002791526147376738	1.2892386564788019e-05	0.0002740338049947622	1.5758513172304107e-06
EG10003	0.07819082192699303	0.27883231710686096	2.4041539182903523e-07	8.771259622962949e-07	8.066376665602136e-07	3.063986426023663e-05	1.5579627777737177e-06	3.311523943903406e-05	1.9043159179357346e-07
EG10004	0.20809762358598097	0.4527221762675127	6.88843011452288e-07	1.5285572410759908e-06	2.146791367186958e-06	8.154515814535928e-05	6.669818271355952e-06	0.00014177015794075452	8.152595995927273e-07
EG10006	0.02255725519870499	0.14848712212382317	7.416898177121129e-08	4.981811274532351e-07	2.327067454857535e-07	8.839288555083456e-06	7.926490766366613e-07	1.684813291974857e-05	9.68864131743392e-08
EG10007	0.24385781745385582	0.48413517948915924	8.036230910656731e-07	1.6165769381496596e-06	2.5157031988627597e-06	9.555815172988099e-05	4.5680834352653675e-06	9.70967849132203e-05	5.583621203495701e-07
EG10008	0.014344690184959914	0.11890719090292401	4.357299285081589e-08	3.638936964511835e-07	1.4798370362609956e-07	5.621111906621224e-06	5.285542728663235e-07	1.1234672324780697e-05	6.460579993769781e-08
EG10011	0.11956015746975604	0.34913829754681963	3.7902452825993046e-07	1.1319485047190982e-06	1.233414920807759e-06	4.685085673132175e-05	2.4413034695357873e-06	5.189106574968778e-05	2.9840334595105265e-07
EG10012	0.10863497476077816	0.3345980835742031	3.595099411674552e-07	1.1317080679188084e-06	1.1207077811470158e-06	4.2569713408209994e-05	4.907075445713086e-06	0.00010430222123945722	5.997975057617362e-07
EG10013	0.08086704150343388	0.2927244566942016	2.569780907803744e-07	9.469276996025329e-07	8.342462715235765e-07	3.168856796396925e-05	2.815569836596543e-06	5.984627529384959e-05	3.441503567596313e-07
EG10014	0.004950144155707321	0.07018290553013581	1.3976976958546923e-08	2.0143933573146333e-07	5.1067025930801456e-08	1.9397640446994185e-06	4.0509194364119525e-07	8.610421827709582e-06	4.951485667749996e-08
EG10015	0.3158073198532581	0.5746989291848045	1.0145235228908955e-06	1.8608341738628689e-06	3.257953725143348e-06	0.0001237522918192079	8.421062391389413e-06	0.0001789936841882677	1.0293161933411724e-06
EG10016	0.001415695251961188	0.03759908321908837	4.189854955721546e-09	1.1591910497779826e-07	1.4604695109466824e-08	5.547545003997175e-07	2.8659607021434904e-08	6.091735709498984e-07	3.503096905221963e-09
EG10017	0.3765500330456605	0.6507582249052882	1.214512717819749e-06	2.118531298106428e-06	3.884591982966046e-06	0.00014755493823148699	9.633580824204453e-06	0.00020476633986383502	1.1775237234144961e-06
EG10018	0.05262018563040584	0.23562239724544512	1.684054857045757e-07	7.580081668414813e-07	5.42844066666894e-07	2.0619751849769204e-05	2.683744048340175e-06	5.7044255499392684e-05	3.2803713823140994e-07
EG10020	0.22437141406691508	0.4966067112227824	7.185285192916548e-07	1.6054968649554072e-06	2.3146761912125614e-06	8.792220751057662e-05	4.1218399626251975e-06	8.761166777473396e-05	5.038172646991729e-07
EG10021	0.13090104500914743	0.36811553645308676	4.4461143920857624e-07	1.273959044920031e-06	1.3504105839309574e-06	5.129489819595819e-05	3.293333365127123e-06	7.00013662037467e-05	4.025479452880313e-07
EG10022	2.1594429172134366	1.8560981302636859	6.949572322429744e-06	5.743749605999071e-06	2.2277397178884142e-05	0.0008461995440197261	7.421562282974835e-05	0.0015774883425880646	9.071461393715762e-06
EG10023	2.1594429172134366	1.8560981302636859	6.949572322429744e-06	5.743749605999071e-06	2.2277397178884142e-05	0.0008461995440197261	9.098729020079677e-05	0.0019339781051854422	1.112148168949267e-05
EG10024	1.819455752339537	1.5050580629207704	5.8692798972369525e-06	4.67420236066665e-06	1.8769997632804813e-05	0.0007129721354156126	0.0001274171144036276	0.002708311335997635	1.557434122546852e-05
EG10025	1.819455752339537	1.5050580629207704	5.8692798972369525e-06	4.67420236066665e-06	1.8769997632804813e-05	0.0007129721354156126	9.09049799748783e-05	0.0019322285622063306	1.111142081540366e-05
EG10026	0.24342295571881495	0.5160886646877929	7.865156746264959e-07	1.6946947742763957e-06	2.5112170475909748e-06	9.538774676155793e-05	1.1096644058004278e-05	0.00023586444438399682	1.3563556342161675e-06
EG10027	0.4665894004846697	0.7192108890368152	1.5067090653407477e-06	2.3130476057378647e-06	4.813462449596696e-06	0.0001828377748665169	1.4737710388806688e-05	0.00031325704007246683	1.8014073819809633e-06
EG10028	0.06272545282133313	0.2546760251298251	1.982957952430951e-07	8.334543505885729e-07	6.47092736088325e-07	2.4579602985910622e-05	1.2226877340838022e-06	2.5988809008141737e-05	1.494505355261279e-07
EG10029	0.027438434497753853	0.16805090736383235	8.095789454146859e-08	5.019339179062318e-07	2.83062311302968e-07	1.0752028023308734e-05	7.687767870531359e-07	1.6340716056653766e-05	9.396847561510941e-08
EG10030	0.044645166234039906	0.21342094401859404	1.4491242260772633e-07	7.10051537442669e-07	4.605716096429287e-07	1.749465985360679e-05	1.1738815140775945e-06	2.4951409601251356e-05	1.4348489482032703e-07
EG10031	1.234501585233858	1.3152340359945056	3.964685494334172e-06	4.073163796203714e-06	1.2735452237702533e-05	0.0004837519298099924	8.66616670789807e-05	0.0018420349294911856	1.0592755773611923e-05
EG10032	1.1967778086416796	1.1977013487303951	3.826995723575468e-06	3.74966668878535e-06	1.2346283555570436e-05	0.0004689694864786375	2.0351558943656857e-05	0.00043258205972023395	2.487594582111518e-06
EG10033	0.3208379230084003	0.5678212939056934	1.0630239634506887e-06	1.92051717885852e-06	3.3098507878733343e-06	0.00012572358453646047	1.0496295848914619e-05	0.0002231037578166269	1.2829743784388425e-06
EG10034	0.7150372122872386	0.9004247205393772	2.2916568251578967e-06	2.851383750202183e-06	7.3765172715748585e-06	0.0002801945622972879	4.957240437003949e-05	0.0010536850197591218	6.059292306528024e-06
EG10035	1.0847405676190842	1.1124050725932082	3.522834399532735e-06	3.5424972929395614e-06	1.1190477075486461e-05	0.00042506656063103664	4.118018778894022e-05	0.0008753044669807947	5.0335019699329145e-06
EG10036	0.02333694121703815	0.15411091338038205	7.498567976296703e-08	5.091546219924169e-07	2.407501973254734e-07	9.144816405777211e-06	9.143111296427639e-07	1.943411769000006e-05	1.1175730659063313e-07
EG10037	0.027438434497753853	0.16805090736383235	8.095789454146859e-08	5.019339179062318e-07	2.83062311302968e-07	1.0752028023308734e-05	4.688304833921726e-07	9.965214789043456e-06	5.7305692091887184e-08
EG10039	0.45329834005421404	0.7186062388077874	1.4485437213725978e-06	2.2787545848268068e-06	4.6763482754837315e-06	0.00017762953843380617	1.7264552600970292e-05	0.0003669662724586399	2.1102662273515288e-06
EG10040	0.013292976120918383	0.11452629788339659	4.339383146058684e-08	3.80991653936402e-07	1.3713393689389755e-07	5.2089871153905825e-06	3.960646303501548e-07	8.418541992460144e-06	4.841143773568889e-08
EG10041	0.07267554908477888	0.2667727944553315	2.3340191155760852e-07	8.763924876451375e-07	7.497406202541852e-07	2.847864882498523e-05	1.0542330378671215e-06	2.240822436297035e-05	1.2886012322405387e-07
EG10042	0.07267554908477888	0.2667727944553315	2.3340191155760852e-07	8.763924876451375e-07	7.497406202541852e-07	2.847864882498523e-05	1.6322533480570078e-06	3.469432082537438e-05	1.9951221410119707e-07
EG10043	0.10621354201588107	0.31747504932550397	3.511484787793239e-07	1.0780099098468554e-06	1.0957276260477381e-06	4.162085050089572e-05	2.07502460758065e-06	4.4105634423508186e-05	2.536326571274547e-07
EG10044	0.26432313866725415	0.5432373274586022	8.335868424633149e-07	1.7156083308877042e-06	2.726828987569707e-06	0.00010357769479858218	2.364644471563412e-06	5.026164230695367e-05	2.890332279883884e-07
EG10045	0.19402687713719216	0.44963664542036846	6.181784208420739e-07	1.4576389834832042e-06	2.0016337412342736e-06	7.603139386195479e-05	5.177107506686342e-06	0.00011004188105862397	6.328038368115176e-07
EG10046	0.006310284384249193	0.09100516293649402	1.9421158878560248e-08	2.8644981145637487e-07	6.509860039321207e-08	2.4727487473838562e-06	1.7368976112158935e-07	3.691858438280008e-06	2.123030033868616e-08
EG10047	0.26290169634390476	0.5314496379136563	8.489068466714368e-07	1.730452252283694e-06	2.7121650041174413e-06	0.00010302068825014295	2.6081421001149702e-06	5.543730015151675e-05	3.187962246816049e-07
EG10048	0.26290169634390476	0.5314496379136563	8.489068466714368e-07	1.730452252283694e-06	2.7121650041174413e-06	0.00010302068825014295	5.837725766681933e-06	0.00012408363620813594	7.135519706010998e-07
EG10049	0.014132048543596325	0.11803530720707313	4.0857446356758806e-08	3.4790628248576313e-07	1.457900349425396e-07	5.537786129159291e-06	4.827719754136908e-07	1.0261547829226663e-05	5.900977678217028e-08
EG10050	0.001475081656305974	0.03837845476871928	5.084207147789836e-09	1.324408669849322e-07	1.5217341318388977e-08	5.780256634746718e-07	2.899209680198289e-08	6.162407992886987e-07	3.5437375155549817e-09
EG10051	0.5105755691995287	0.7409377441201547	1.6420614272033437e-06	2.393098980245853e-06	5.267235662598682e-06	0.0002000741998782597	7.4059387264841765e-06	0.0001574167481387409	9.052364539962655e-07
EG10052	0.012612906006647447	0.11159668726643532	4.655843369260583e-08	4.201609122831745e-07	1.3011814966269225e-07	4.942494764048364e-06	4.981881636943945e-07	1.058922623941451e-05	6.089411530139916e-08
EG10053	0.012612906006647447	0.11159668726643532	4.655843369260583e-08	4.201609122831745e-07	1.3011814966269225e-07	4.942494764048364e-06	5.640357076154767e-07	1.1988847086925965e-05	6.894273673413161e-08
EG10054	0.2876543328129041	0.5549984436673925	9.00152712376296e-07	1.754046205046682e-06	2.9675198965523812e-06	0.00011272025915631988	6.643120449093921e-06	0.00014120268303742512	8.119962939070514e-07
EG10055	0.012612906006647447	0.11159668726643532	4.655843369260583e-08	4.201609122831745e-07	1.3011814966269225e-07	4.942494764048364e-06	2.3084295544337912e-07	4.906676752088659e-06	2.8216201366654514e-08
EG10056	0.04096129347420044	0.19820056990743976	1.3258349276722257e-07	6.515529679153225e-07	4.225677819088222e-07	1.6051097060279785e-05	1.5275590111682822e-06	3.246899292701775e-05	1.8671530424563416e-07
EG10057	0.11734561929483434	0.34970261758655335	3.8543545882477507e-07	1.177803260986419e-06	1.2105691460492425e-06	4.59830675534299e-05	3.066631135886382e-06	6.518270255544206e-05	3.7483786967303087e-07
EG10058	0.11734561929483434	0.34970261758655335	3.8543545882477507e-07	1.177803260986419e-06	1.2105691460492425e-06	4.59830675534299e-05	4.678518393057551e-06	9.94441324377572e-05	5.718607129360203e-07
EG10059	0.11734561929483434	0.34970261758655335	3.8543545882477507e-07	1.177803260986419e-06	1.2105691460492425e-06	4.59830675534299e-05	3.035972944083805e-06	6.453104811491626e-05	3.710904834390541e-07
EG10060	0.09231329201827569	0.3210766479460594	2.9811125162825265e-07	1.0581214392793202e-06	9.523288875980884e-07	3.617389697599674e-05	2.869666893544389e-06	6.0996133955001236e-05	3.507627025825828e-07
EG10061	1.0401126425992089	1.1532649232861896	3.3299085218244163e-06	3.588020239077262e-06	1.073008333087193e-05	0.0004075786569215484	1.9610841618958363e-05	0.00041683776087435097	2.3970558470250636e-06
EG10062	0.0702809360063601	0.26172234127521576	2.3047536394715002e-07	8.736129860341608e-07	7.250371440879694e-07	2.7540295475188686e-05	4.327265493065851e-06	9.197808507589291e-05	5.289266648176747e-07
