# Column descriptions:
# id	Object ID, according to EcoCyc
# protein-count-avg	A floating point number
# protein-count-std	A floating point number
# protein-concentration-avg	A floating point number in mM units
# protein-concentration-std	A floating point number in mM units
# relative-protein-count-to-protein-rna-counts	A floating point number
# relative-protein-mass-to-total-protein-mass	A floating point number
# relative-protein-mass-to-total-cell-dry-mass	A floating point number
id	protein-count-avg	protein-count-std	protein-concentration-avg	protein-concentration-std	relative-protein-count-to-protein-rna-counts	relative-protein-mass-to-total-protein-mass	relative-protein-mass-to-total-cell-dry-mass
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	117.96329028355926	53.38728425476299	0.00018902569287246806	7.02417044529514e-05	2.6390313411762705e-05	3.0724932063237835e-05	1.58278702772304e-05
1-PFK-MONOMER	83.35352759099156	77.58716951832422	0.0001360630763358505	0.00012376473976394019	1.8647544603194718e-05	2.667801797298316e-05	1.3743112819937693e-05
2-DEHYDROPANTOATE-REDUCT-MONOMER	178.92488941070434	101.4875884604816	0.0002907607568556217	0.00015481671150438227	4.00284181406185e-05	5.745489480041923e-05	2.959774230977168e-05
2-ISOPROPYLMALATESYN-MONOMER	1909.2927100010675	1022.4102179026328	0.003044484313518941	0.001368433748618918	0.0004271399423549686	0.0010371690338988975	0.000534294978759415
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER	250.13419907259166	135.67992328244182	0.00040277567501919274	0.00019446566650275194	5.59591029773603e-05	6.659493837422805e-05	3.4306212412056226e-05
2-OCTAPRENYLPHENOL-HYDROX-MONOMER	43.153352071251526	25.085376739718402	6.956834952340445e-05	3.719498928359708e-05	9.654109199488713e-06	2.5867797655560406e-05	1.3325729892816833e-05
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER	2564.164516549851	828.8084976711434	0.004154669925834743	0.0010710571867126014	0.000573645454178237	0.0006863990800086052	0.0003535967329211925
3-ISOPROPYLMALDEHYDROG-MONOMER	2905.2161074939813	1392.5552540379267	0.004650705016155732	0.0018321076489295402	0.000649944261654365	0.001088376446588475	0.0005606743466166021
3-OXOACYL-ACP-REDUCT-MONOMER	2855.4208915928416	785.6647021998846	0.004623421559667834	0.0008566939557067225	0.0006388042591088391	0.0006921440068589789	0.00035655621731493314
3-OXOACYL-ACP-SYNTHII-MONOMER	1150.750230666145	361.8556102875519	0.001864564916504772	0.00044766817728360796	0.00025744160893560904	0.00046966773232035594	0.00024194813271734137
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER	36.74114633365354	29.48833238434126	5.890657058126268e-05	4.513584602924126e-05	8.219594117134332e-06	1.1329761677983236e-05	5.836497790848402e-06
