# Column descriptions:
# id	Object ID, according to EcoCyc
# complex-count-avg	A floating point number
# complex-count-std	A floating point number
# complex-concentration-avg	A floating point number in mM units
# complex-concentration-std	A floating point number in mM units
# relative-complex-mass-to-total-protein-mass	A floating point number
# relative-complex-mass-to-total-cell-dry-mass	A floating point number
id	complex-count-avg	complex-count-std	complex-concentration-avg	complex-concentration-std	relative-complex-mass-to-total-protein-mass	relative-complex-mass-to-total-cell-dry-mass
1-PFK	40.254786097767735	39.599332334577355	6.891988923870706e-05	6.727826076632763e-05	2.6321883251395848e-05	1.3857297995047876e-05
2OXOGLUTARATEDEH-CPLX	162.0378615428087	48.0387465084977	0.0002744553035631515	6.204675742229945e-05	0.0037954733296751597	0.0019981474904070995
E1O	2.2605255721955357e-06	0.0015035027310463043	4.325010118510583e-12	2.876616219269898e-09	2.7603274203533238e-11	1.453189320171814e-11
E2O	22.85941791466516	8.478658506563384	3.902853321087925e-05	1.3561603181688612e-05	0.0002338634207520176	0.00012311866444169098
E3-CPLX	4511.292844306301	1000.5088475700004	0.0076656675515351476	0.0010816326645422842	0.0044294966043053104	0.002331932477158766
3-ISOPROPYLMALDEHYDROG-CPLX	1483.1129290760102	737.2024722378412	0.0024868766603182006	0.0010379189106269565	0.0011351278286765986	0.0005975941931741957
3-ISOPROPYLMALISOM-CPLX	2981.7731336535744	1553.0469958869862	0.004983776093169544	0.002176401094930064	0.002089905905623605	0.0011002422827895845
3-METHYL-2-OXOBUT-OHCH3XFER-CPLX	268.16240745973437	88.28586153457843	0.00045281716056451226	0.00011658927154073647	0.0007332778485129182	0.0003860380947275963
3-OXOACYL-ACP-SYNTHII-CPLX	571.5303351229161	174.85337823928498	0.0009650617758555867	0.0002178355157099286	0.00047656132904680095	0.0002508882926971946
6PFK-1-CPX	535.9824470189319	153.59447383317033	0.0009031040260558191	0.00017512228809222363	0.0007234589985978407	0.0003808689080116472
6PFK-2-CPX	71.20246397287369	90.62310441979592	0.00011920495380896682	0.00014210776497815923	4.4762302331988894e-05	2.3565356491956288e-05
6PGLUCONDEHYDROG-CPLX	2311.0434314778186	878.9966076871863	0.00391424370414411	0.0012701938614836897	0.0023045045969985	0.001213218926114356
7-ALPHA-HYDROXYSTEROID-DEH-CPLX	96.07270980502967	52.86252859223586	0.00016323681592289837	8.578202534028911e-05	9.96667118836791e-05	5.2470080258618284e-05
7KAPSYN-CPLX	49.76533031929924	27.834165855267187	8.502144298696532e-05	4.558660258741133e-05	4.0102343848202356e-05	2.1112096110180328e-05
ABC-10-CPLX	82.51258547612319	54.55135062642181	0.00014095369946178944	9.04772459599204e-05	0.00012999803692265646	6.843817059757522e-05
ABC-11-CPLX	28.908760666855045	22.116009853337737	4.848963993003642e-05	3.472586536805931e-05	4.514550228965126e-05	2.376709418504994e-05
ABC-12-CPLX	262.6352483752473	95.80043215078148	0.00044094175528806124	0.00012173521027641295	0.0003291873000685692	0.00017330243697488872
ABC-13-CPLX	26.038051426956766	20.490447038746908	4.3590044416515036e-05	3.220768391310276e-05	3.510378370532448e-05	1.8480577051134482e-05
ABC-14-CPLX	95.07148460016954	56.63374033784773	0.00016029312826115877	8.970260152006922e-05	0.00012646686004506773	6.657916340577884e-05
ABC-15-CPLX	208.2056241876236	70.9157019802941	0.0003511164084062011	9.23062827329591e-05	0.00034906168721452114	0.0001837654157260691
ABC-16-CPLX	19.97235829330319	17.594530219261443	3.3863222865170855e-05	2.829467658632646e-05	4.152025950308223e-05	2.185856548601695e-05
ABC-18-CPLX	124.38434359988698	77.61165426601146	0.00021291742153841517	0.000127862523078588	0.00019668773358200097	0.00010354732259029515
ABC-19-CPLX	49.853737213902235	23.33689969773209	8.462484054424222e-05	3.567940823184301e-05	5.6196702090106934e-05	2.9585058172471203e-05
ABC-2-CPLX	38.9133902232269	33.91891138593636	6.69488063951493e-05	5.8277858018069874e-05	8.066914032542201e-05	4.246870582234751e-05
ABC-20-CPLX	2.1579316191014413	11.6157591023809	3.4228843922363565e-06	1.8279420100978258e-05	3.781173449565255e-06	1.9906192410761596e-06
ABC-21-CPLX	140.94110878779315	86.64353501212625	0.00024085152069636367	0.00014320436032229624	8.624972085451453e-05	4.5406632665894925e-05
ABC-22-CPLX	340.9935100310822	131.96535773227964	0.0005771227637851957	0.00018759574851353957	0.0006664284415796198	0.0003508448623961745
ABC-23-CPLX	0.0	0.0	0.0	0.0	0.0	0.0
ABC-24-CPLX	75.074081944052	48.65089934049416	0.00012698879531703372	7.727929008294739e-05	0.00013459949122537933	7.086063113637595e-05
ABC-25-CPLX	25.16874371291325	20.387683155706846	4.308818921777116e-05	3.4487488029457656e-05	4.6502540392230634e-05	2.4481514243769693e-05
