# Column descriptions:
# id	Object ID, according to EcoCyc
# protein-count-avg	A floating point number
# protein-count-std	A floating point number
# protein-concentration-avg	A floating point number in mM units
# protein-concentration-std	A floating point number in mM units
# relative-protein-count-to-protein-rna-counts	A floating point number
# relative-protein-mass-to-total-protein-mass	A floating point number
# relative-protein-mass-to-total-cell-dry-mass	A floating point number
id	protein-count-avg	protein-count-std	protein-concentration-avg	protein-concentration-std	relative-protein-count-to-protein-rna-counts	relative-protein-mass-to-total-protein-mass	relative-protein-mass-to-total-cell-dry-mass
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	122.25077818592823	49.10177011660982	0.00020434269017688858	6.541092393692377e-05	2.8176151451763754e-05	3.252636633610369e-05	1.7123681718008547e-05
1-PFK-MONOMER	80.82734783837242	79.34833937107491	0.00013839621424703634	0.00013481252991846297	1.8628949671590013e-05	2.64257771505036e-05	1.3911993500914737e-05
2-DEHYDROPANTOATE-REDUCT-MONOMER	161.15911839502684	98.83653637521354	0.000275556676525961	0.00016136296274746507	3.714367953408807e-05	5.286290462182085e-05	2.7829962439694307e-05
2-ISOPROPYLMALATESYN-MONOMER	1909.2316021474992	1079.083375006634	0.003184784107587296	0.0015319630714175645	0.0004400364527478615	0.0010594378991462218	0.000557746819841933
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER	260.5562859564849	137.26693105250845	0.00043821381676073973	0.0002063205776367997	6.005256967488187e-05	7.086137344907079e-05	3.730535383216073e-05
2-OCTAPRENYLPHENOL-HYDROX-MONOMER	45.87596044080249	25.224439845709473	7.715072575001483e-05	3.8628946700815096e-05	1.0573413343915714e-05	2.809117796957541e-05	1.4788752781801338e-05
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER	2686.579377225205	883.160648986376	0.0045367901056226016	0.0011662150527066621	0.0006191982459592698	0.0007346328533713953	0.0003867514443739465
3-ISOPROPYLMALDEHYDROG-MONOMER	2967.296513139305	1474.7531747565074	0.004975573038864072	0.0020763086000155895	0.0006838974540460406	0.0011355375514452266	0.0005978098939447677
3-OXOACYL-ACP-REDUCT-MONOMER	2887.775507205425	860.2196964057844	0.004903699865405262	0.0011788381937482676	0.0006655695878349812	0.0007150388217972081	0.0003764360603319065
3-OXOACYL-ACP-SYNTHII-MONOMER	1143.776691720825	349.795868504112	0.0019313502943070842	0.0004357414697118376	0.0002636157067557449	0.0004768598505116986	0.0002510454509391599
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER	32.46775021192427	21.826840835568806	5.4646490011109297e-05	3.37654889322328e-05	7.48311185289873e-06	1.0227279653512177e-05	5.3842067637729795e-06
6PFK-1-MONOMER	2145.8330149759818	614.4808064790158	0.0036157407013067224	0.0007005877222691637	0.0004945679440028101	0.0007241012335418303	0.00038120701607620693
6PFK-2-MONOMER	142.6717242158802	181.38360301803766	0.0002388613638261598	0.00028444734088672397	3.2882736364075186e-05	4.484616470583373e-05	2.3609506292859244e-05
6PGLUCONDEHYDROG-MONOMER	4623.4733743995475	1758.3430745672526	0.007830862551054687	0.0025408948884128833	0.0010656102804691505	0.002305195891232256	0.0012135828617077149
6PGLUCONOLACT-MONOMER	727.1828629556372	323.0399957827965	0.0012384207325438084	0.0004977115489964881	0.00016759986957795602	0.00025562356269456446	0.00013457440901864563
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER	385.6725199208816	211.62124749589645	0.0006553153169691164	0.0003433808890127843	8.888914650135914e-05	0.00010002505394719963	5.265873137871248e-05
7KAPSYN-MONOMER	100.00597682961289	55.774142978839556	0.00017087087454108787	9.138573559840538e-05	2.304920746555291e-05	4.0293855621623515e-05	2.1212918520511335e-05
AAS-MONOMER	39.11265329189037	35.347291533555506	6.56701407784855e-05	5.702025590662983e-05	9.014617814183214e-06	3.05820878159466e-05	1.610010576100483e-05
