# Column descriptions:
# id	Object ID, according to EcoCyc
# rna-count-avg	A floating point number
# rna-count-std	A floating point number
# rna-concentration-avg	A floating point number in mM units
# rna-concentration-std	A floating point number in mM units
# relative-rna-count-to-total-rna-counts	A floating point number
# relative-rna-count-to-total-rna-type-counts	A floating point number
# relative-rna-mass-to-total-rna-mass	A floating point number
# relative-rna-mass-to-total-rna-type-mass	A floating point number
# relative-rna-mass-to-total-cell-dry-mass	A floating point number
id	rna-count-avg	rna-count-std	rna-concentration-avg	rna-concentration-std	relative-rna-count-to-total-rna-counts	relative-rna-count-to-total-rna-type-counts	relative-rna-mass-to-total-rna-mass	relative-rna-mass-to-total-rna-type-mass	relative-rna-mass-to-total-cell-dry-mass
EG10001	0.2160519920881605	0.4654277971010844	3.6490077179476793e-07	8.008693439685507e-07	1.0448331621028793e-06	4.277074287131511e-05	2.8659823122599645e-06	6.56952004274706e-05	3.826719480907705e-07
EG10002	0.7003967222379203	0.8632714482656627	1.1781971889873503e-06	1.4597844127151611e-06	3.3871371189381427e-06	0.00013865407037083084	5.915529326487275e-06	0.00013559814485795437	7.898538388291473e-07
EG10003	0.1720983328623905	0.42463237354815303	2.7587582162343254e-07	6.892892123109989e-07	8.322721007074623e-07	3.4069454635880993e-05	1.6003124787623492e-06	3.668300693592646e-05	2.136770667363454e-07
EG10004	0.4725945182254874	0.6998930199473355	7.97972955934519e-07	1.2048323229642327e-06	2.2854796204264287e-06	9.35571962380579e-05	7.069071747661417e-06	0.00016204010866088762	9.438772337495317e-07
EG10006	0.05424809268154846	0.23504806682942156	9.42847285771981e-08	4.218408617889787e-07	2.6234521453236065e-07	1.0739226243260024e-05	8.896230110210158e-07	2.0392296827480994e-05	1.1878432369854395e-07
EG10007	0.5820265611754732	0.8185242900615334	9.534833867354858e-07	1.3117948952388875e-06	2.8146958815945084e-06	0.00011522091581619847	5.088232866784906e-06	0.00011663452233293366	6.793914865220034e-07
EG10008	0.03433512291607799	0.1907702672585396	5.983609488759498e-08	3.389194740025286e-07	1.6604556477756585e-07	6.797154238223038e-06	5.904237938065292e-07	1.3533931910654851e-05	7.883461890486144e-08
EG10011	0.2881559762644815	0.5449677686450433	4.856360805568443e-07	9.249348961466014e-07	1.3935299413319278e-06	5.704481152208871e-05	2.7459318247201073e-06	6.294335481886061e-05	3.6664255609501244e-07
EG10012	0.23173777903362533	0.4919387496886808	3.830414943660217e-07	8.215744460417994e-07	1.1206900436613448e-06	4.587598042869411e-05	4.885136882254842e-06	0.00011197907440757788	6.522736862072319e-07
EG10013	0.18777055665442216	0.4531509443661577	3.044995581293552e-07	7.423920981496787e-07	9.080633904963137e-07	3.717200716294666e-05	3.051048225134128e-06	6.993735579128855e-05	4.0738233555610983e-07
